"","ward_pre","obama_sen_primary_pct","keyes_pct","bush2004_pct","obama_pres_primary_pct","mccain_pct","votes_cast_2004_sen_dem_primary","votes_cast_2004_senate","votes_cast_2004_president","votes_cast_2008_president_dem_primary","votes_cast_2008_president","nondemo.distance","demo.distance","white_median_income","black_median_income","white_name","black_name","registrants"
"2007","40 11",0.67948717948718,0.0808625336927224,0.13031914893617,0.708171206225681,0.103194103194103,156,371,376,257,407,11385.7354834489,10603.1953141196,4916,4806,0.571728856789451,0.204604665497194,249
"2008","40 12",0.692307692307692,0.123674911660777,0.178947368421053,0.757575757575758,0.106666666666667,143,283,285,198,300,11721.0240424818,10935.8188502512,30335,20803,0.600238548105856,0.208092569036201,305
"2010","40 14",0.403225806451613,0.116710875331565,0.227621483375959,0.65296803652968,0.16542750929368,124,377,391,219,538,9507.25986132356,8713.3285408318,32024,28222,0.548418484695914,0.0347862865200026,529
"2011","40 15",0.468208092485549,0.115384615384615,0.229166666666667,0.493506493506494,0.2,173,416,432,231,435,10857.9830532656,10061.5053619344,42612,53619,0.573208645931963,0.0437249380738614,388
"2013","40 17",0.345238095238095,0.182291666666667,0.241379310344828,0.514285714285714,0.25,84,192,203,105,196,9643.98080475069,9242.5867117936,56282,46930,0.597763447097741,0.0199474038157037,201
"2014","40 18",0.588571428571429,0.119331742243437,0.181176470588235,0.523206751054852,0.132692307692308,175,419,425,237,520,11009.5387284393,10213.3800871207,28679,26968,0.285899330172092,0.220642808096584,438
"2015","40 19",0.455882352941176,0.15987460815047,0.281065088757396,0.576923076923077,0.164102564102564,136,319,338,182,390,10312.628231008,9517.19428676543,33472,19141,0.564051092662546,0.0349929598292086,315
"2016","40 20",0.503649635036496,0.15727002967359,0.274566473988439,0.6,0.2,137,337,346,205,360,9103.35197279803,8647.88794973431,44454,2851,0.642177696086288,0.0378201167439347,374
"2017","40 21",0.565217391304348,0.118918918918919,0.24,0.516587677725118,0.131233595800525,161,370,375,211,381,9441.23224559529,8644.78409743842,43341,18433,0.64022008302048,0.0288231854240294,210
"2018","40 22",0.666666666666667,0.0860215053763441,0.19047619047619,0.65,0.15034965034965,63,186,189,140,286,10250.6470676254,9460.34284232354,18439,20027,0.513593665090854,0.0340597676871909,94
"2019","40 23",0.584070796460177,0.0821917808219178,0.165384615384615,0.676375404530744,0.112377850162866,226,511,520,309,614,9220.87466651386,8424.21494895741,36168,26270,0.58942950080514,0.0445385986910018,297
"2020","40 24",0.31,0.143884892086331,0.293515358361775,0.439393939393939,0.273311897106109,100,278,293,132,311,10414.4369677257,9621.38425286628,45490,40253,0.611956214602453,0.00707216531172885,319
