"","ward_pre","dole_pct","bush2000_pct","votes_cast_1996","votes_cast_2000","nondemo.distance","demo.distance","white_median_income","black_median_income","white_name","black_name","registrants"
"1971","39 29",0.162162162162162,0.211618257261411,185,241,8632.83585207786,8986.71752863454,54472,166761,0.253695586819026,0.0146220074318589,239
"1972","39 30",0.164739884393064,0.216666666666667,346,360,8300.64181247496,9042.60454070313,21506,11038,0.427617008986655,0.0376796843932509,649
"1973","39 31",0.197411003236246,0.180272108843537,309,294,8565.06224749195,9419.62870443738,17042,1228,0.259653151794023,0.0138834826570933,413
"1974","39 32",0.147121535181237,0.249443207126949,469,449,11943.6553925294,12033.6543166616,61766,0,0.75714399612711,0.0061508331707617,498
"1975","39 33",0.321016166281755,0.292372881355932,433,472,9507.03789221601,9708.87429271317,20517,2716,0.642697426747322,0.0242919486534584,369
"1976","39 34",0.284552845528455,0.246882793017456,369,401,11768.19516555,11683.8044635586,87124,0,0.941281198458453,0.00220629138312248,565
"1977","39 35",0.244332493702771,0.316546762589928,397,417,10288.5454610692,10186.1197853357,60787,0,0.545196983236805,0.0139721798327787,417
"1978","39 36",0.262745098039216,0.287946428571429,510,448,11535.1285183317,11655.4943984247,6516,0,0.891395987934249,0.00623670224601061,410
"1979","39 37",0.464891041162228,0.441666666666667,413,480,11347.0599776879,12015.3863119909,49466,0,0.933481095372563,0.0058002774360837,372
"1980","39 38",0.469667318982387,0.439338235294118,511,544,12271.7351794512,13204.128923665,73930,38384,0.925159076567025,0.000966229731628743,607
"1981","39 39",0.270440251572327,0.331491712707182,159,181,10966.3655332669,11452.9475976909,18691,0,0.852542499473586,0.000515287309333574,573
"1982","39 40",0.475409836065574,0.512727272727273,244,275,12095.6141077382,12529.3022570177,29730,0,0.825382885445352,0.000481581145182355,322
"1983","39 41",0.351648351648352,0.351851851851852,91,108,11191.6988493881,11098.7933089933,29296,37799,0.792164611663705,0.0150563878522594,89
"1984","39 42",0.540350877192982,0.547692307692308,285,325,11988.4538871383,12581.1809674226,44218,0,0.91445786141762,0.000402373311434133,414
"1985","39 43",0.301298701298701,0.364356435643564,385,505,10015.1325497417,10245.8113938117,86167,107515,0.66212676884211,0.0216368199590434,679
"1986","39 44",0.199488491048593,0.237089201877934,391,426,9197.7293765156,9676.6439824373,40002,41973,0.294589274242292,0.025062537149004,645
"1987","39 45",0.275294117647059,0.31322505800464,425,431,9935.35241925864,9790.39246736605,72636,66575,0.611361857366374,0.0558559978434961,628
"1988","39 46",0.205357142857143,0.256024096385542,336,332,8556.39510889076,9557.41126721135,51420,35498,0.481039046370406,0.0137171586122623,397
"1989","39 47",0.400778210116732,0.453531598513011,257,269,12013.4860568868,12293.4300528557,26018,0,0.748298624439596,0,215
"1990","39 48",0.180995475113122,0.219081272084806,221,283,9528.17141648619,10099.0189437793,17047,16286,0.490811118954126,0.0316235097686424,256
"1991","39 49",0.219917012448133,0.279352226720648,241,247,10968.834820952,10786.059205689,51894,15525,0.570264242667854,0.0276983504874741,310
"1992","40 1",0.201320132013201,0.224755700325733,303,307,10061.7440914324,9268.16108618787,30199,71727,0.565126464092224,0.0151561423152195,398
"1993","40 2",0.28158844765343,0.235087719298246,277,285,10704.7549749316,9910.20002845762,36267,311,0.699421909554952,0.0157947261255128,372
"1994","40 3",0.103448275862069,0.106145251396648,261,358,11044.1848317875,10265.773079814,22039,17964,0.694119092521488,0.127614395190861,542
"1995","40 4",0.191977077363897,0.194647201946472,349,411,10991.4529243891,10205.8004144454,44929,56224,0.793233396332004,0.0656267074449552,634
"1996","40 5",0.225806451612903,0.209239130434783,341,368,9345.38936180549,8557.55189924779,24137,31935,0.706531036939978,0.0229900155081613,510
"1997","40 6",0.205479452054795,0.198738170347003,219,317,9126.59296122272,8340.47633517144,26266,21448,0.696791936843487,0.033594089177805,402
"1998","40 7",0.197952218430034,0.133152173913043,293,368,11307.4834943982,10521.9619446293,35619,35244,0.615116736282475,0.161533471307406,434
"1999","40 8",0.143589743589744,0.142212189616253,390,443,11072.0475064117,10290.6366601015,21242,17314,0.78406098521036,0.0784977873272018,305
"2000","40 9",0.292792792792793,0.221774193548387,222,248,10834.3899688236,10040.202192076,20114,14353,0.469796302098598,0.0796158785976959,345
"2001","40 10",0.250681198910082,0.305263157894737,367,380,11031.4756713142,10236.4060979454,51010,127308,0.670640271723466,0.0155735707813645,545
"2002","40 11",0.123134328358209,0.139240506329114,268,316,11399.910927038,10617.0043765218,4144,3904,0.591657562879937,0.208760666743877,321
"2003","40 12",0.154205607476636,0.153024911032028,214,281,11737.5144421499,10951.9642725232,33322,22581,0.563262904723984,0.242709011801115,297
"2004","40 13",0.152249134948097,0.156976744186047,289,344,11686.0452136473,10905.8665121486,3958,4160,0.694922199685494,0.159645946940081,283
"2005","40 14",0.166051660516605,0.192429022082019,271,317,9478.39906972557,8684.37826643257,20433,20224,0.538264193102375,0.0347249555354243,533
"2006","40 15",0.243967828418231,0.250596658711217,373,419,10883.0365902725,10086.5704200843,44032,57734,0.568669244215715,0.0417091327482806,387
"2007","40 16",0.152112676056338,0.170616113744076,355,422,11368.0122670068,10589.3321688504,3680,3868,0.75348985412899,0.0514138004373772,407
"2008","40 17",0.225274725274725,0.306532663316583,182,199,9647.9624932748,9265.52155345972,59603,50767,0.581373928298042,0.0214466773688946,344
"2009","40 18",0.158415841584158,0.220963172804533,303,353,11041.4570420865,10245.2439159752,29387,28459,0.30897651646121,0.200262369136109,573
"2010","40 19",0.355172413793103,0.30503144654088,290,318,10326.5022515956,9531.11689852555,35121,19805,0.56915520982924,0.0300694490543388,387
"2011","40 20",0.273148148148148,0.301115241635688,216,269,9155.73228504088,8666.76476542273,31342,0,0.664825039875223,0.020203296764324,203
"2012","40 21",0.221843003412969,0.229357798165138,293,327,9459.55106075488,8663.13770391224,44856,16896,0.709695306169937,0.0240525802771443,313
"2013","40 22",0.187772925764192,0.180451127819549,229,266,10264.5975960349,9474.82482378426,26848,32409,0.447687451544335,0.129261129484442,797
"2014","40 23",0.19935691318328,0.155717761557178,311,411,9238.68045273557,8441.9959656579,36424,26142,0.630932179459244,0.0392832594801328,381
"2015","40 24",0.223484848484848,0.296610169491525,264,236,10425.5461639176,9632.54636440625,45216,37352,0.605285758537123,0.006464242792096,349
"2016","40 25",0.307958477508651,0.307142857142857,289,280,10489.8769850624,9693.65404036014,27990,1562,0.622914116802309,0.0225931974278737,380
"2017","40 26",0.146757679180887,0.14985590778098,293,347,11968.0196557713,11184.3327075355,7758,6986,0.510383959252479,0.298236869952961,527
"2018","40 27",0.219626168224299,0.189979123173278,428,479,10718.2304938699,9937.59942214508,29230,30330,0.819272686488711,0.0653135766771377,597
"2019","40 28",0.106761565836299,0.16120218579235,281,366,11638.4229123762,10849.5438379676,11513,12072,0.329378778513842,0.249738386129861,493
"2020","40 29",0.279452054794521,0.315028901734104,365,346,10949.783447656,10462.0704049015,49666,17964,0.817522380919361,4.26293697386706e-05,344
"2021","40 30",0.313984168865435,0.304733727810651,379,338,10557.1861439008,9769.80657339186,72825,10813,0.792723066715468,0.000677268893718991,376
"2022","40 31",0.384375,0.407051282051282,320,312,10965.7741108889,10174.1151185647,63941,10786,0.73874533951375,0.00643970430326916,388
"2023","40 32",0.251655629139073,0.279569892473118,302,279,9794.19937148256,9002.82159210073,24331,9738,0.565714582364479,0.0313707415798765,624
"2024","40 33",0.232786885245902,0.198863636363636,305,352,9964.26112995165,9171.96195607691,36854,9349,0.60600996085967,0.0430866862308996,400
